fecha,anio,epoca_conf,pico_evento,pico_bp,asume_codigo,bp_1230,bp_1400,bp_1415,candidata_medida
2011-09-21,2011,True,14:32,82.19,14:15,12.24,14.05,1.13,14:00
2012-01-25,2012,True,12:32,32.65,14:15,19.29,21.32,0.28,14:00
2012-03-13,2012,True,15:02,20.42,14:15,2.88,2.24,7.8,14:15
2012-04-25,2012,True,14:18,21.8,14:15,3.59,7.84,3.92,14:00
2012-06-20,2012,True,12:40,40.12,14:15,17.72,5.44,22.62,14:15
2012-08-01,2012,True,14:10,40.47,14:15,3.25,6.14,7.48,14:15
2012-09-13,2012,True,12:37,67.33,14:15,26.06,16.24,0.99,12:30
2012-10-24,2012,True,14:24,24.75,14:15,19.62,0.15,6.64,12:30
2012-12-12,2012,True,12:34,35.16,14:15,3.73,2.19,2.49,12:30
2013-01-30,2013,True,14:44,21.18,14:00,1.38,0.04,2.62,14:15
2013-03-20,2013,True,14:19,18.65,14:00,4.38,7.81,5.93,14:00
2013-05-01,2013,True,15:04,20.44,14:00,4.22,7.34,4.93,14:00
2013-06-19,2013,True,14:54,64.02,14:00,3.62,24.98,5.63,14:00
2013-07-31,2013,True,14:11,25.64,14:00,4.64,9.88,8.51,14:00
2013-09-18,2013,True,13:57,62.06,14:00,1.53,51.73,2.79,14:00
2013-10-30,2013,True,14:13,43.64,14:00,9.89,20.32,31.53,14:15
2013-12-18,2013,True,14:01,134.44,14:00,9.08,46.59,0.0,14:00
2014-01-29,2014,True,14:03,37.36,14:00,14.11,14.36,0.0,14:00
2014-03-19,2014,True,15:06,67.06,14:00,0.57,28.06,8.95,14:00
2014-04-30,2014,True,13:59,26.93,14:00,0.1,20.33,4.87,14:00
2014-06-18,2014,True,13:58,32.83,14:00,2.83,6.28,7.8,14:15
2014-07-30,2014,True,14:43,23.57,14:00,0.66,7.35,0.96,14:00
2014-09-17,2014,True,14:05,54.48,14:00,0.92,20.78,2.43,14:00
2014-10-29,2014,True,14:11,41.35,14:00,12.24,32.08,2.24,14:00
2014-12-17,2014,True,13:57,68.34,14:00,7.79,37.14,26.88,14:00
2015-01-28,2015,True,14:06,51.68,14:00,2.8,19.85,2.46,14:00
2015-03-18,2015,True,13:58,97.01,14:00,7.69,69.19,7.72,14:00
2015-04-29,2015,True,14:07,32.98,14:00,14.39,6.72,31.14,14:15
2015-06-17,2015,True,13:59,38.39,14:00,2.08,26.91,27.09,14:15
2015-07-29,2015,True,14:02,42.67,14:00,2.06,6.97,15.07,14:15
2015-09-17,2015,True,14:42,71.69,14:00,0.38,43.77,21.78,14:00
2015-10-28,2015,True,14:00,72.97,14:00,6.33,72.97,15.78,14:00
2015-12-16,2015,True,14:01,93.52,14:00,2.2,25.78,3.49,14:00
2016-01-27,2016,True,14:04,86.45,14:00,15.45,23.46,29.38,14:15
2016-03-16,2016,True,13:56,75.67,14:00,2.0,52.77,7.58,14:00
2016-04-27,2016,True,14:05,48.83,14:00,4.32,2.46,9.29,14:15
2016-06-15,2016,True,11:24,19.84,14:00,0.52,12.16,0.49,14:00
2016-07-27,2016,True,14:15,23.8,14:00,1.39,10.05,23.8,14:15
2016-09-21,2016,True,14:00,33.49,14:00,5.42,33.49,1.03,14:00
2016-11-02,2016,True,14:09,36.15,14:00,6.4,10.2,11.18,14:15
2016-12-14,2016,True,14:11,64.94,14:00,2.83,11.56,27.4,14:15
2017-02-01,2017,True,14:30,17.8,14:00,5.91,6.27,1.13,14:00
2017-03-15,2017,True,13:58,37.88,14:00,4.6,35.03,3.24,14:00
2017-05-03,2017,True,14:13,14.23,14:00,3.02,9.43,9.79,14:15
2017-06-14,2017,True,15:06,51.61,14:00,4.86,19.81,16.49,14:00
2017-07-26,2017,True,11:20,9.09,14:00,3.03,6.57,3.87,14:00
2017-09-20,2017,True,13:57,37.19,14:00,1.67,28.65,16.12,14:00
2017-11-01,2017,True,13:58,22.48,14:00,4.64,7.05,3.84,14:00
2017-12-13,2017,True,13:58,27.62,14:00,2.97,16.9,2.34,14:00
2018-01-31,2018,True,14:44,29.23,14:00,4.46,0.0,0.19,12:30
2018-03-21,2018,True,14:46,52.32,14:00,0.43,16.67,0.29,14:00
2018-05-02,2018,True,11:40,45.96,14:00,3.88,22.87,4.9,14:00
2018-06-13,2018,True,14:19,36.1,14:00,3.17,27.17,10.25,14:00
2018-08-01,2018,True,14:11,33.16,14:00,0.26,13.23,10.91,14:00
2018-09-26,2018,True,14:00,28.41,14:00,2.24,28.41,14.32,14:00
2018-11-08,2018,True,14:05,38.79,14:00,3.89,3.77,4.74,14:15
2018-12-19,2018,True,13:59,146.31,14:00,2.29,127.59,35.73,14:00
2019-01-30,2019,True,13:59,60.4,14:00,8.58,55.06,1.46,14:00
2019-03-20,2019,True,14:00,65.75,14:00,28.59,65.75,8.38,14:00
2019-05-01,2019,True,14:35,44.03,14:00,1.16,21.33,8.55,14:00
2019-06-19,2019,True,14:00,74.38,14:00,4.59,74.38,3.14,14:00
2019-07-31,2019,True,14:48,126.02,14:00,1.87,27.01,7.91,14:00
2019-09-18,2019,True,14:09,48.41,14:00,1.03,7.78,15.12,14:15
2019-10-30,2019,True,14:46,26.71,14:00,1.48,1.85,4.97,14:15
2019-12-11,2019,True,14:01,18.02,14:00,0.35,13.25,8.12,14:00
2020-01-29,2020,True,15:10,25.37,14:00,4.21,15.42,5.08,14:00
2020-04-29,2020,True,14:54,31.09,14:00,0.11,18.75,2.86,14:00
2020-06-10,2020,True,14:01,67.87,14:00,7.18,55.48,25.95,14:00
2020-07-29,2020,True,14:59,31.17,14:00,14.68,3.19,7.42,12:30
2020-09-16,2020,True,14:11,54.21,14:00,12.32,0.88,14.36,14:15
2020-11-05,2020,True,12:17,42.97,14:00,0.82,3.07,3.85,14:15
2020-12-16,2020,True,14:31,22.06,14:00,1.81,8.16,0.26,14:00
2021-01-27,2021,True,14:47,62.83,14:00,26.24,10.15,43.86,14:15
2021-03-17,2021,True,13:57,80.54,14:00,16.56,51.43,24.04,14:00
2021-04-28,2021,True,14:34,44.09,14:00,1.62,9.57,2.32,14:00
2021-06-16,2021,True,13:59,78.08,14:00,8.85,72.23,24.33,14:00
2021-07-28,2021,True,14:01,36.92,14:00,3.49,11.95,4.8,14:00
2021-09-22,2021,True,15:06,41.8,14:00,5.32,17.03,2.5,14:00
2021-11-03,2021,True,13:59,43.17,14:00,1.53,38.39,8.35,14:00
2021-12-15,2021,True,14:01,106.55,14:00,0.4,65.88,4.7,14:00
2022-01-26,2022,True,14:40,158.43,14:00,0.83,89.34,6.98,14:00
2022-03-16,2022,True,14:37,101.73,14:00,6.36,100.37,34.93,14:00
2022-05-04,2022,True,14:41,159.21,14:00,3.61,39.63,53.8,14:15
2022-06-15,2022,True,14:36,201.39,14:00,12.87,93.85,49.39,14:00
2022-07-27,2022,True,14:35,102.91,14:00,3.88,4.55,17.34,14:15
2022-09-21,2022,True,13:59,186.92,14:00,13.23,175.5,27.72,14:00
2022-11-02,2022,True,14:46,164.33,14:00,4.48,125.42,11.65,14:00
2022-12-14,2022,True,13:57,140.64,14:00,9.47,123.27,14.41,14:00
2023-02-01,2023,True,14:34,141.17,14:00,0.6,0.65,15.13,14:15
2023-03-22,2023,True,14:37,94.33,14:00,1.2,72.02,16.34,14:00
2023-05-03,2023,True,15:06,68.48,14:00,3.91,13.69,15.58,14:15
2023-06-14,2023,True,14:00,69.39,14:00,3.65,69.39,18.01,14:00
2023-07-26,2023,True,14:34,58.23,14:00,1.71,8.8,4.26,14:00
2023-09-20,2023,True,14:00,47.62,14:00,1.81,47.62,7.98,14:00
2023-11-01,2023,True,14:37,61.55,14:00,2.05,5.01,12.64,14:15
2023-12-13,2023,True,14:00,60.16,14:00,5.47,60.16,17.2,14:00
2024-01-31,2024,True,14:59,67.14,14:00,4.76,13.41,9.25,14:00
2024-03-20,2024,True,14:00,65.17,14:00,3.67,65.17,5.85,14:00
2024-05-01,2024,True,14:36,90.53,14:00,5.1,20.84,7.09,14:00
2024-06-12,2024,True,15:22,51.18,14:00,0.29,14.51,7.39,14:00
2024-07-31,2024,True,15:23,40.63,14:00,0.15,12.16,10.43,14:00
2024-09-18,2024,True,13:56,83.67,14:00,3.75,63.25,49.53,14:00
2024-11-07,2024,True,14:37,17.19,14:00,1.95,0.38,0.64,12:30
2024-12-18,2024,True,14:03,62.43,14:00,2.71,55.06,1.97,14:00
2025-01-29,2025,True,14:36,70.71,14:00,0.56,18.75,7.27,14:00
2025-03-19,2025,True,14:07,41.92,14:00,9.1,6.59,1.4,12:30
2025-05-07,2025,True,14:03,71.62,14:00,6.82,15.34,25.81,14:15
2025-06-18,2025,True,14:52,40.43,14:00,3.23,17.27,6.24,14:00
2025-07-30,2025,True,14:55,40.49,14:00,2.76,3.92,0.05,14:00
2025-09-17,2025,True,14:56,61.91,14:00,7.61,20.12,14.06,14:00
2025-10-29,2025,True,14:34,74.78,14:00,0.01,7.92,4.48,14:00
2025-12-10,2025,True,14:37,46.44,14:00,3.04,18.77,4.77,14:00
2026-01-28,2026,True,13:57,17.9,14:00,3.13,13.09,0.01,14:00
2026-03-18,2026,True,14:29,26.11,14:00,22.36,1.11,11.68,12:30
2026-04-29,2026,True,11:51,23.6,14:00,13.11,17.09,15.59,14:00
2026-06-17,2026,True,14:00,128.59,14:00,3.24,128.59,9.14,14:00
2026-07-29,2026,True,15:16,69.42,14:00,14.41,43.58,16.26,14:00
