hip,fecha,dir,bp,dur,motivo,amb,nivel
1,2012-02-10,-1,-24.727934877029757,169,TIEMPO,False,0.0
2,2012-02-10,1,9.530414869864279,169,TIEMPO,False,0.0
3,2012-02-10,1,26.058927208186297,169,TIEMPO,False,0.0
1,2012-02-13,-1,10.553581520764908,169,TIEMPO,False,0.0
3,2012-02-13,-1,3.4248173634370316,169,TIEMPO,False,0.0
1,2012-02-14,-1,-2.661260226895089,169,TIEMPO,False,0.0
2,2012-02-14,1,-20.2778145527547,169,TIEMPO,False,0.0
3,2012-02-14,1,-2.4261336664582505,169,TIEMPO,False,0.0
1,2012-02-15,1,45.94115855144347,169,TIEMPO,False,0.0
3,2012-02-15,-1,-46.653224674817345,169,TIEMPO,False,0.0
1,2012-02-16,1,72.49978709924645,169,TIEMPO,False,0.0
1,2012-02-17,-1,21.61492199920352,169,TIEMPO,False,0.0
2,2012-02-17,1,-49.663012373114604,169,TIEMPO,False,0.0
3,2012-02-17,1,-27.218764851848775,169,TIEMPO,False,0.0
1,2012-02-21,1,29.909704880772324,169,TIEMPO,False,0.0
2,2012-02-21,1,3.8865421505075792,169,TIEMPO,False,0.0
3,2012-02-21,-1,-17.69706219271508,169,TIEMPO,False,0.0
1,2012-02-22,-1,42.304147764597616,169,TIEMPO,False,0.0
3,2012-02-22,1,-39.16780380696203,169,TIEMPO,False,0.0
1,2012-02-23,-1,-51.426598417868064,169,TIEMPO,False,0.0
2,2012-02-23,-1,-87.67917570684544,169,TIEMPO,False,0.0
1,2012-02-24,1,16.901715093933664,169,TIEMPO,False,0.0
2,2012-02-24,-1,-25.50884201781574,169,TIEMPO,False,0.0
3,2012-02-24,-1,-14.878869464317066,169,TIEMPO,False,0.0
1,2012-02-27,-1,-71.44625873666834,169,TIEMPO,False,0.0
2,2012-02-27,-1,-107.17488208104542,169,TIEMPO,False,0.0
3,2012-02-27,1,75.68551112621498,169,TIEMPO,False,0.0
1,2012-02-28,1,71.73387785136032,169,TIEMPO,False,0.0
3,2012-02-28,-1,-68.93626519133744,169,TIEMPO,False,0.0
1,2012-02-29,1,-19.945852259161583,169,TIEMPO,False,0.0
3,2012-02-29,-1,17.767635237340635,169,TIEMPO,False,0.0
1,2012-03-01,1,23.568529301198712,169,TIEMPO,False,0.0
2,2012-03-01,-1,-35.61547452585349,169,TIEMPO,False,0.0
3,2012-03-01,-1,-18.613699795004727,169,TIEMPO,False,0.0
1,2012-03-02,-1,5.065039787798753,169,TIEMPO,False,0.0
3,2012-03-02,1,-9.632409569653497,169,TIEMPO,False,0.0
1,2012-03-05,1,-92.38616026078367,169,TIEMPO,False,0.0
3,2012-03-05,1,-88.87688083137333,169,TIEMPO,False,0.0
1,2012-03-06,-1,26.65990221730961,169,TIEMPO,False,0.0
3,2012-03-06,1,-26.601563140194457,169,TIEMPO,False,0.0
1,2012-03-07,-1,-36.09992720396315,169,TIEMPO,False,0.0
3,2012-03-07,-1,-42.3193507317732,169,TIEMPO,False,0.0
1,2012-03-08,-1,-32.55214753848506,169,TIEMPO,False,0.0
