ts,ny,cet,ny_min,desde_apertura,dow,nas,dur_min,c9
2022-08-01 15:00:00.390000+00:00,2022-08-01 11:00:00.390000-04:00,2022-08-01 17:00:00.390000+02:00,660,90,0,1.0,73.14306666666667,+NASDAQ 100 (Mini)
2022-08-03 15:00:00.122000+00:00,2022-08-03 11:00:00.122000-04:00,2022-08-03 17:00:00.122000+02:00,660,90,2,1.0,724.2224666666666,+NASDAQ 100 (Mini)
2022-08-08 13:00:00.367000+00:00,2022-08-08 09:00:00.367000-04:00,2022-08-08 15:00:00.367000+02:00,540,-30,0,1.0,2.9149833333333333,+NASDAQ 100 (Mini)
2022-08-11 13:00:00.122000+00:00,2022-08-11 09:00:00.122000-04:00,2022-08-11 15:00:00.122000+02:00,540,-30,3,1.0,85.39283333333333,+NASDAQ 100 (Mini)
2022-08-14 23:00:00.477000+00:00,2022-08-14 19:00:00.477000-04:00,2022-08-15 01:00:00.477000+02:00,1140,570,6,1.0,910.8376499999999,+NASDAQ 100 (Mini)
2022-08-19 15:00:00.075000+00:00,2022-08-19 11:00:00.075000-04:00,2022-08-19 17:00:00.075000+02:00,660,90,4,-1.0,3886.76535,-NASDAQ 100 (Mini)
2022-08-30 15:00:00.128000+00:00,2022-08-30 11:00:00.128000-04:00,2022-08-30 17:00:00.128000+02:00,660,90,1,-1.0,173.32538333333332,-NASDAQ 100 (Mini)
2022-08-31 16:00:00.112000+00:00,2022-08-31 12:00:00.112000-04:00,2022-08-31 18:00:00.112000+02:00,720,150,2,-1.0,195.6284,-NASDAQ 100 (Mini)
2022-09-06 17:00:00.254000+00:00,2022-09-06 13:00:00.254000-04:00,2022-09-06 19:00:00.254000+02:00,780,210,1,-1.0,62.001099999999994,-NASDAQ 100 (Mini)
2022-09-09 14:00:00.081000+00:00,2022-09-09 10:00:00.081000-04:00,2022-09-09 16:00:00.081000+02:00,600,30,4,1.0,121.1652,+NASDAQ 100 (Mini)
