c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,ts,cet,ny,dir,inst
0.0,1658860467000.0,0.0,0.0,0.0,0.29761904,0.0,0.0,0.0,,0.0,2022-07-26 18:34:27+00:00,2022-07-26 20:34:27+02:00,2022-07-26 14:34:27-04:00,0,
6840.0,1659366000390.0,0.0,-2.8447254,48.401787,1.4665525,2.0,5.0,3.0,+NASDAQ 100 (Mini),0.0,2022-08-01 15:00:00.390000+00:00,2022-08-01 17:00:00.390000+02:00,2022-08-01 11:00:00.390000-04:00,1,NASDAQ 100 (Mini)
6846.0,1659366360047.0,-2.8447253666902372,-1.6402124,33.295425,1.4665525,3.0,14.0,2.0,+NASDAQ 100 (Mini),0.0,2022-08-01 15:06:00.047000+00:00,2022-08-01 17:06:00.047000+02:00,2022-08-01 11:06:00.047000-04:00,1,NASDAQ 100 (Mini)
6860.0,1659367200073.0,-4.438278205023371,-0.3260109,12.259736,1.4665525,4.0,53.0,1.0,+NASDAQ 100 (Mini),0.0,2022-08-01 15:20:00.073000+00:00,2022-08-01 17:20:00.073000+02:00,2022-08-01 11:20:00.073000-04:00,1,NASDAQ 100 (Mini)
6913.0,1659370388974.0,-4.749819845223557,0.0,0.0,1.4665525,0.0,0.0,0.0,,0.0,2022-08-01 16:13:08.974000+00:00,2022-08-01 18:13:08.974000+02:00,2022-08-01 12:13:08.974000-04:00,0,
9720.0,1659538800122.0,-4.749819845223557,3.325694,41.47983,2.0827734,6.0,12.0,3.0,+NASDAQ 100 (Mini),0.0,2022-08-03 15:00:00.122000+00:00,2022-08-03 17:00:00.122000+02:00,2022-08-03 11:00:00.122000-04:00,1,NASDAQ 100 (Mini)
9733.0,1659539580068.0,-1.5820902093636402,2.8786397,19.17976,2.0827734,7.0,44.0,2.0,+NASDAQ 100 (Mini),0.0,2022-08-03 15:13:00.068000+00:00,2022-08-03 17:13:00.068000+02:00,2022-08-03 11:13:00.068000-04:00,1,NASDAQ 100 (Mini)
9777.0,1659542220134.0,1.2510067814006653,0.68065035,13.315476,2.0827734,8.0,302.0,1.0,+NASDAQ 100 (Mini),0.0,2022-08-03 15:57:00.134000+00:00,2022-08-03 17:57:00.134000+02:00,2022-08-03 11:57:00.134000-04:00,1,NASDAQ 100 (Mini)
10080.0,1659560400000.0,1.9401721113770254,-0.047045838,4.5609317,2.3805015,9.0,60.0,1.0,+NASDAQ 100 (Mini),0.0,2022-08-03 21:00:00+00:00,2022-08-03 23:00:00+02:00,2022-08-03 17:00:00-04:00,1,NASDAQ 100 (Mini)
10140.0,1659564000000.0,1.8922135044234567,0.13548876,12.365707,2.3805015,10.0,304.0,1.0,+NASDAQ 100 (Mini),0.0,2022-08-03 22:00:00+00:00,2022-08-04 00:00:00+02:00,2022-08-03 18:00:00-04:00,1,NASDAQ 100 (Mini)
10444.0,1659582253470.0,2.0302660024438257,0.0,0.0,2.3805015,0.0,0.0,0.0,,0.0,2022-08-04 03:04:13.470000+00:00,2022-08-04 05:04:13.470000+02:00,2022-08-03 23:04:13.470000-04:00,0,
13920.0,1659963600367.0,2.0302660024438257,-3.9189734,35.96459,2.9449592,12.0,1.0,2.0,+NASDAQ 100 (Mini),0.0,2022-08-08 13:00:00.367000+00:00,2022-08-08 15:00:00.367000+02:00,2022-08-08 09:00:00.367000-04:00,1,NASDAQ 100 (Mini)
13922.0,1659963720067.0,-1.9682730921236402,-1.645274,15.624197,2.9449592,13.0,0.0,1.0,+NASDAQ 100 (Mini),0.0,2022-08-08 13:02:00.067000+00:00,2022-08-08 15:02:00.067000+02:00,2022-08-08 09:02:00.067000-04:00,1,NASDAQ 100 (Mini)
13923.0,1659963775266.0,-3.5811636431995697,0.0,0.0,2.9449592,0.0,0.0,0.0,,0.0,2022-08-08 13:02:55.266000+00:00,2022-08-08 15:02:55.266000+02:00,2022-08-08 09:02:55.266000-04:00,0,
18240.0,1660222800122.0,-3.5811636431995697,3.4932349,48.151237,3.8438644,15.0,65.0,2.0,+NASDAQ 100 (Mini),0.0,2022-08-11 13:00:00.122000+00:00,2022-08-11 15:00:00.122000+02:00,2022-08-11 09:00:00.122000-04:00,1,NASDAQ 100 (Mini)
18306.0,1660226760074.0,-0.21302719901364897,-0.46785793,15.236393,3.8438644,16.0,19.0,1.0,+NASDAQ 100 (Mini),0.0,2022-08-11 14:06:00.074000+00:00,2022-08-11 16:06:00.074000+02:00,2022-08-11 10:06:00.074000-04:00,1,NASDAQ 100 (Mini)
18325.0,1660227923692.0,-0.6798884606949551,0.0,0.0,3.8438644,0.0,0.0,0.0,,0.0,2022-08-11 14:25:23.692000+00:00,2022-08-11 16:25:23.692000+02:00,2022-08-11 10:25:23.692000-04:00,0,
20280.0,1660518000477.0,-0.6798884606949551,-3.9618866,38.534023,4.461584,18.0,520.0,3.0,+NASDAQ 100 (Mini),0.0,2022-08-14 23:00:00.477000+00:00,2022-08-15 01:00:00.477000+02:00,2022-08-14 19:00:00.477000-04:00,1,NASDAQ 100 (Mini)
20801.0,1660549260186.0,-4.614838668410181,6.8906846,25.17869,4.461584,19.0,378.0,2.0,+NASDAQ 100 (Mini),0.0,2022-08-15 07:41:00.186000+00:00,2022-08-15 09:41:00.186000+02:00,2022-08-15 03:41:00.186000-04:00,1,NASDAQ 100 (Mini)
21180.0,1660572000136.0,1.9578517936950979,-1.0628995,10.979773,4.461584,20.0,10.0,1.0,+NASDAQ 100 (Mini),0.0,2022-08-15 14:00:00.136000+00:00,2022-08-15 16:00:00.136000+02:00,2022-08-15 10:00:00.136000-04:00,1,NASDAQ 100 (Mini)
21191.0,1660572650736.0,0.8741423066077614,0.0,0.0,4.461584,0.0,0.0,0.0,,0.0,2022-08-15 14:10:50.736000+00:00,2022-08-15 16:10:50.736000+02:00,2022-08-15 10:10:50.736000-04:00,0,
27000.0,1660921200075.0,0.8741423066077614,1.9422837,25.51232,5.652049,22.0,153.0,3.0,-NASDAQ 100 (Mini),0.0,2022-08-19 15:00:00.075000+00:00,2022-08-19 17:00:00.075000+02:00,2022-08-19 11:00:00.075000-04:00,-1,NASDAQ 100 (Mini)
27153.0,1660930380092.0,2.8334043212951965,2.6382425,16.25439,5.652049,23.0,206.0,2.0,-NASDAQ 100 (Mini),0.0,2022-08-19 17:33:00.092000+00:00,2022-08-19 19:33:00.092000+02:00,2022-08-19 13:33:00.092000-04:00,-1,NASDAQ 100 (Mini)
27360.0,1661115600000.0,5.546398880391101,0.06335414,5.1228805,5.951429,24.0,60.0,2.0,-NASDAQ 100 (Mini),0.0,2022-08-21 21:00:00+00:00,2022-08-21 23:00:00+02:00,2022-08-21 17:00:00-04:00,-1,NASDAQ 100 (Mini)
27420.0,1661119200000.0,5.613266898034031,0.19119318,15.132972,5.951429,25.0,1.0,2.0,-NASDAQ 100 (Mini),0.0,2022-08-21 22:00:00+00:00,2022-08-22 00:00:00+02:00,2022-08-21 18:00:00-04:00,-1,NASDAQ 100 (Mini)
27421.0,1661119260089.0,5.815192257064017,-0.8007338,7.509929,5.951429,26.0,299.0,1.0,-NASDAQ 100 (Mini),0.0,2022-08-21 22:01:00.089000+00:00,2022-08-22 00:01:00.089000+02:00,2022-08-21 18:01:00.089000-04:00,-1,NASDAQ 100 (Mini)
27720.0,1661137200464.0,4.96789425408668,2.651566,14.585061,5.951429,27.0,218.0,3.0,"-NASDAQ 100 (Mini),-GBP/USD",0.0,2022-08-22 03:00:00.464000+00:00,2022-08-22 05:00:00.464000+02:00,2022-08-21 23:00:00.464000-04:00,-1,"NASDAQ 100 (Mini),-GBP/USD"
27938.0,1661150281027.0,7.7511874006508386,0.1944607,6.1341543,5.951429,28.0,20.0,2.0,"-NASDAQ 100 (Mini),-GBP/USD",0.0,2022-08-22 06:38:01.027000+00:00,2022-08-22 08:38:01.027000+02:00,2022-08-22 02:38:01.027000-04:00,-1,"NASDAQ 100 (Mini),-GBP/USD"
27959.0,1661151540673.0,7.9607211271207845,1.631492,6.235574,5.951429,29.0,47.0,1.0,-NASDAQ 100 (Mini),0.0,2022-08-22 06:59:00.673000+00:00,2022-08-22 08:59:00.673000+02:00,2022-08-22 02:59:00.673000-04:00,-1,NASDAQ 100 (Mini)
28007.0,1661154405996.0,9.72209167528273,0.0,0.0,5.951429,0.0,0.0,0.0,,0.0,2022-08-22 07:46:45.996000+00:00,2022-08-22 09:46:45.996000+02:00,2022-08-22 03:46:45.996000-04:00,0,
35280.0,1661763600410.0,9.72209167528273,-2.076492,11.400367,7.450885,31.0,81.0,2.0,+USD/JPY,0.0,2022-08-29 09:00:00.410000+00:00,2022-08-29 11:00:00.410000+02:00,2022-08-29 05:00:00.410000-04:00,1,USD/JPY
35362.0,1661768520152.0,7.443721243461776,0.5021096,8.441162,7.450885,32.0,997.0,1.0,+USD/JPY,0.0,2022-08-29 10:22:00.152000+00:00,2022-08-29 12:22:00.152000+02:00,2022-08-29 06:22:00.152000-04:00,1,USD/JPY
36359.0,1661828340359.0,7.983206441708135,0.0,0.0,7.7517724,0.0,0.0,0.0,,0.0,2022-08-30 02:59:00.359000+00:00,2022-08-30 04:59:00.359000+02:00,2022-08-29 22:59:00.359000-04:00,0,
37080.0,1661871600128.0,7.983206441708135,2.7366166,43.95259,7.7517724,34.0,11.0,3.0,-NASDAQ 100 (Mini),0.0,2022-08-30 15:00:00.128000+00:00,2022-08-30 17:00:00.128000+02:00,2022-08-30 11:00:00.128000-04:00,-1,NASDAQ 100 (Mini)
37092.0,1661872320059.0,10.93829291008146,2.69882,27.239758,7.7517724,35.0,132.0,2.0,-NASDAQ 100 (Mini),0.0,2022-08-30 15:12:00.059000+00:00,2022-08-30 17:12:00.059000+02:00,2022-08-30 11:12:00.059000-04:00,-1,NASDAQ 100 (Mini)
37224.0,1661880240339.0,13.932317823666573,-1.3826338,12.993634,7.7517724,36.0,29.0,1.0,-NASDAQ 100 (Mini),0.0,2022-08-30 17:24:00.339000+00:00,2022-08-30 19:24:00.339000+02:00,2022-08-30 13:24:00.339000-04:00,-1,NASDAQ 100 (Mini)
37253.0,1661881999651.0,12.357051101293948,0.0,0.0,7.7517724,0.0,0.0,0.0,,0.0,2022-08-30 17:53:19.651000+00:00,2022-08-30 19:53:19.651000+02:00,2022-08-30 13:53:19.651000-04:00,0,
38580.0,1661961600112.0,12.357051101293948,2.3393743,41.192715,8.054065,38.0,24.0,3.0,-NASDAQ 100 (Mini),0.0,2022-08-31 16:00:00.112000+00:00,2022-08-31 18:00:00.112000+02:00,2022-08-31 12:00:00.112000-04:00,-1,NASDAQ 100 (Mini)
38604.0,1661963040717.0,14.985503102673437,3.0047448,24.159,8.054065,39.0,62.0,2.0,-NASDAQ 100 (Mini),0.0,2022-08-31 16:24:00.717000+00:00,2022-08-31 18:24:00.717000+02:00,2022-08-31 12:24:00.717000-04:00,-1,NASDAQ 100 (Mini)
38667.0,1661966820159.0,18.440523909969485,-1.4355127,11.181799,8.054065,40.0,108.0,1.0,-NASDAQ 100 (Mini),0.0,2022-08-31 17:27:00.159000+00:00,2022-08-31 19:27:00.159000+02:00,2022-08-31 13:27:00.159000-04:00,-1,NASDAQ 100 (Mini)
