ms,dir,tod,transc,pos,rbp,rbp_rel,vol30,dow,r15,r30,r60,r120,fwd75,fwd240,tomada
1659363000000,1,610,610,0.9592041800643049,152.8539664813314,0.6339181104857675,9.139326400620522,0,29.399058444512516,94.40457173014671,106.35218974292204,71.70774179860561,17.78586145351424,-84.08350477311477,False
1659363300000,1,615,615,0.9558543936934911,165.41649941561502,0.6860176230070139,9.070641810226412,0,51.953022685922164,82.81702240939825,119.91639076504245,86.6083619236102,11.743689339451802,-80.97852929889515,False
1659365100000,1,645,645,0.916253188036172,165.52492971235017,0.6864673066521821,7.917984124801619,0,51.72356992314553,-6.550692812471448,76.21207870958102,90.18882651441461,21.64527251513393,-82.72792452769463,False
1659365400000,1,650,650,0.9581774158045344,174.08386021514332,0.7219630230997647,7.26860250255189,0,56.28395350882221,48.873891236453915,87.03027096501393,118.29470448385449,-8.729100452786742,-96.04309646560338,False
1659365700000,1,655,655,0.9628861136123418,195.33351498083354,0.8100898889419176,6.6647873934562645,0,57.012205134114865,69.55027721930351,71.78392054043803,149.68615132992636,-37.547960637196454,-104.56839383971794,False
1659366000000,1,660,660,0.9253024311944568,195.4770215586446,0.8106850414312013,5.841374670587179,0,29.750736265479194,81.628187617373,75.25400733371823,145.73763235279148,-54.55724412526286,-76.57452443784129,True
1659366300000,1,665,665,0.8607446267079056,195.7240167996386,0.8117093835537791,5.866901664189201,0,1.6937060580035634,57.987192414128415,56.13488832239444,145.14363513948413,-38.62068627308979,-80.11175647497315,False
1659366600000,1,670,670,0.8075793759542749,195.92789381004258,0.81255490514659,6.434819174679992,0,-30.336610966956723,26.502638458405503,11.795804487306771,118.27344519392824,-21.983688042108707,-56.493322550638105,False
1659366900000,1,675,675,0.8993462005246091,195.57625395097665,0.8110965793984141,5.378650069999314,0,-5.073846662231318,24.661794535858483,18.094946539366497,138.22832537241592,-36.66049813715322,-72.40984354282665,False
1659367500000,1,685,685,0.8381161179188024,195.81074025321647,0.8120690442750047,6.4378438072750175,0,5.982999536930933,-24.371761822962192,45.009009117229496,124.05219474362906,-38.28363296498161,-89.15471593567315,False
1659367800000,1,690,690,0.866930274439182,195.7003237563554,0.8116111234328578,6.606257644938356,0,-6.339785392139863,-11.410415344474956,70.12463112044509,137.7581324172872,-40.72908119988949,-97.57817497400234,False
1659368700000,1,705,705,0.8354539404142011,195.82094806532254,0.8121113782563297,6.900070268551709,0,-6.159928759351674,-12.495808888854931,12.135168739866309,88.43973209296419,-43.3300708008133,-88.41573010364368,False
1659369000000,1,710,710,0.9178170144462273,195.50562846950183,0.8108036804125436,5.540582998197985,0,35.97098815518285,38.93371563727044,12.866034978171736,100.00827939422585,-88.64687342160505,-90.52975266850338,False
1659369300000,1,715,715,0.889480483889913,195.6139976699092,0.8112531106781656,5.301924037141535,0,24.2048239377346,10.057694523439853,-14.33857967306329,57.34241292098208,-68.42622515682018,-98.92127032463782,False
1659369600000,1,720,720,0.8839603805347869,195.63512253599754,0.8113407200186574,5.1861854618868835,0,9.498577091686666,3.3327972765140323,-8.081420928078842,67.11177047466154,-64.52749901600386,-88.50185835367563,False
